station_id,city,state,location_type,charger_type,ports_total,power_output_kw,total_capacity_kw,avg_utilization,p90_utilization,bottleneck_prob_gt80
EV00010,San Diego,CA,Hotel/Hospitality,Level 2,4,7.2,28.8,0.47718552424545846,0.822,0.12501788013159776
EV00070,San Diego,CA,Suburban,Level 2,4,7.2,28.8,0.4754201716738197,0.819,0.11802575107296137
EV00119,San Diego,CA,Airport,Level 2,4,7.2,28.8,0.4754375625804606,0.817,0.11729366328136175
EV00137,San Diego,CA,Hotel/Hospitality,DC Fast Charge,6,350.0,2100.0,0.4754591617794307,0.817,0.11600629380632241
EV00006,Phoenix,AZ,Shopping Center,DC Fast Charge,8,150.0,1200.0,0.4303311400371907,0.817,0.11314547275067945
EV00101,Phoenix,AZ,Shopping Center,Level 2,8,7.2,57.6,0.4308680972818312,0.813,0.1123032904148784
EV00005,Phoenix,AZ,Workplace,DC Fast Charge,6,7.2,43.2,0.2588799713876967,0.821,0.11130185979971388
EV00011,Phoenix,AZ,Workplace,DC Fast Charge,6,50.0,300.0,0.2569061650693749,0.814,0.10728078958661136
EV00039,Los Angeles,CA,Residential,DC Fast Charge,8,50.0,400.0,0.3434262623372908,0.812,0.10470605063653268
EV00002,Seattle,WA,Residential,DC Fast Charge,4,150.0,600.0,0.33487124463519313,0.7921000000000004,0.0955650929899857
EV00057,Las Vegas,NV,Highway Corridor,Level 2,10,7.2,72.0,0.44773705293276106,0.795,0.09542203147353362
EV00037,Portland,OR,Hotel/Hospitality,Hyper-Fast,4,150.0,600.0,0.46055779685264664,0.791,0.09127324749642346
EV00090,Las Vegas,NV,Highway Corridor,Level 2,10,7.2,72.0,0.4464624517236447,0.786,0.08925761693606064
EV00073,Las Vegas,NV,Highway Corridor,Tesla DC Fast,20,250.0,5000.0,0.44672432045779686,0.788,0.0882689556509299
EV00135,New York,NY,Urban Center,Level 2,4,7.2,28.8,0.4192270386266094,0.785,0.08683834048640915
EV00066,Minneapolis,MN,Shopping Center,DC Fast Charge,12,7.2,86.4,0.4146222285796023,0.778,0.08596767272207123
EV00040,Las Vegas,NV,Highway Corridor,DC Fast Charge,16,100.0,1600.0,0.44569460735231015,0.788,0.08582463166928908
EV00008,Minneapolis,MN,Shopping Center,Level 2,6,7.2,43.2,0.4143344299814047,0.781,0.08582463166928908
EV00055,Chicago,IL,Shopping Center,Level 2,6,7.2,43.2,0.41391160062938065,0.777,0.08510942640537834
EV00111,Portland,OR,Suburban,Tesla DC Fast,8,350.0,2800.0,0.4573882689556509,0.787,0.08469241773962805
EV00025,San Diego,CA,Residential,DC Fast Charge,2,50.0,100.0,0.32167052932761087,0.758,0.08054363376251789
EV00017,Las Vegas,NV,Urban Center,DC Fast Charge,2,350.0,700.0,0.41187412387355166,0.772,0.07638392218566728
EV00113,Miami,FL,Shopping Center,Level 2,6,100.0,600.0,0.40365899013016737,0.764,0.07109140323272779
EV00083,Atlanta,GA,Workplace,DC Fast Charge,2,350.0,700.0,0.23634158203404376,0.748,0.06851666428264912
EV00117,Portland,OR,Residential,DC Fast Charge,8,150.0,1200.0,0.3095339722500357,0.729,0.06794450007152053
EV00116,Atlanta,GA,Workplace,Tesla DC Fast,6,150.0,900.0,0.23582818311874107,0.739,0.06638054363376251
EV00087,Austin,TX,Hotel/Hospitality,DC Fast Charge,6,350.0,2100.0,0.4378756795422032,0.7551000000000003,0.06466380543633762
EV00058,Phoenix,AZ,Highway Corridor,Level 2,16,100.0,1600.0,0.4246843083965098,0.747,0.060792447432413105
EV00013,Austin,TX,Airport,DC Fast Charge,4,19.2,76.8,0.4367442425976255,0.749,0.05893291374624517
EV00026,Austin,TX,Hotel/Hospitality,DC Fast Charge,6,50.0,300.0,0.43630110141610645,0.749,0.0563581747961665
EV00097,Austin,TX,Residential,Level 2,8,19.2,153.6,0.2966378200543556,0.697,0.052925189529394935
EV00125,Phoenix,AZ,Urban Center,DC Fast Charge,2,350.0,700.0,0.3913761087267525,0.735,0.04763948497854077
EV00085,Phoenix,AZ,Urban Center,DC Fast Charge,6,7.2,43.2,0.3916584179659562,0.735,0.04648834215419825
EV00086,Phoenix,AZ,Urban Center,DC Fast Charge,4,7.2,28.8,0.3913484978540772,0.73,0.045779685264663805
EV00084,Phoenix,AZ,Urban Center,DC Fast Charge,8,100.0,800.0,0.39164439994278355,0.727,0.04491489057359462
EV00042,Chicago,IL,Highway Corridor,DC Fast Charge,10,150.0,1500.0,0.40951516452074394,0.7141000000000003,0.04377682403433476
EV00133,Miami,FL,Highway Corridor,Hyper-Fast,12,150.0,1800.0,0.39950994135316836,0.704,0.041052782148476616
EV00142,Denver,CO,Hotel/Hospitality,DC Fast Charge,6,50.0,300.0,0.42305893291374624,0.727,0.041052782148476616
EV00136,Miami,FL,Highway Corridor,Hyper-Fast,8,150.0,1200.0,0.40060944206008586,0.705,0.040915593705293275
EV00056,Boston,MA,Airport,DC Fast Charge,4,50.0,200.0,0.42501101416106424,0.732,0.04048061793734802
EV00103,Denver,CO,Hotel/Hospitality,Level 2,6,125.0,750.0,0.422796452581891,0.729,0.04033757688456587
EV00043,Boston,MA,Suburban,DC Fast Charge,2,50.0,100.0,0.423920886981402,0.729,0.039198855507868384
EV00052,Boston,MA,Airport,Level 2,4,50.0,200.0,0.42407366614218284,0.729,0.038907166356744384
EV00060,Denver,CO,Suburban,Level 2,6,7.2,43.2,0.4209618025751073,0.72,0.03876967095851216
EV00100,Denver,CO,Airport,Tesla DC Fast,10,250.0,2500.0,0.42281330472103007,0.727,0.03805436337625179
EV00139,Miami,FL,Highway Corridor,Tesla DC Fast,16,150.0,2400.0,0.3993499284692418,0.702,0.03690987124463519
EV00020,Chicago,IL,Urban Center,Level 2,4,125.0,500.0,0.37711673819742486,0.7,0.031044349070100143
EV00023,Chicago,IL,Urban Center,Tesla DC Fast,4,350.0,1400.0,0.3774401373194107,0.702,0.03089686740094407
EV00078,Minneapolis,MN,Urban Center,DC Fast Charge,8,350.0,2800.0,0.3768708154506438,0.704,0.03032904148783977
EV00134,Atlanta,GA,Highway Corridor,DC Fast Charge,16,150.0,2400.0,0.38632227149191817,0.685,0.028894292661993993
EV00088,Atlanta,GA,Highway Corridor,DC Fast Charge,20,350.0,7000.0,0.3861095694464311,0.682,0.026891717923043915
EV00063,New York,NY,Residential,Level 2,2,50.0,100.0,0.25998083249892723,0.611,0.020168788442282936
EV00146,New York,NY,Residential,DC Fast Charge,4,150.0,600.0,0.2596629470672389,0.607,0.018168812589413448
EV00003,Atlanta,GA,Urban Center,Hyper-Fast,8,150.0,1200.0,0.3560467811158798,0.664,0.015736766809728183
EV00096,Las Vegas,NV,Residential,DC Fast Charge,8,125.0,1000.0,0.2563304721030043,0.601,0.01430615164520744
EV00128,New York,NY,Suburban,Level 2,6,19.2,115.2,0.38379012875536483,0.655,0.011874105865522174
EV00120,New York,NY,Suburban,DC Fast Charge,8,50.0,400.0,0.38370772532188846,0.658,0.0117310443490701
EV00145,New York,NY,Airport,Tesla DC Fast,10,250.0,2500.0,0.3837463882134173,0.662,0.011300243169789729
EV00062,New York,NY,Airport,Level 2,10,19.2,192.0,0.38363252753540267,0.658,0.010585037905878987
EV00082,Las Vegas,NV,Suburban,DC Fast Charge,2,350.0,700.0,0.37987469603776286,0.655,0.010441996853096838
EV00108,Phoenix,AZ,Residential,DC Fast Charge,4,50.0,200.0,0.24226762980975539,0.567,0.009011586325275354
EV00072,Phoenix,AZ,Residential,DC Fast Charge,8,7.2,57.6,0.24271606351022743,0.57,0.008868545272493205
EV00075,Minneapolis,MN,Residential,DC Fast Charge,4,62.5,250.0,0.23367987412387353,0.543,0.0050064368473751964
EV00132,Minneapolis,MN,Suburban,DC Fast Charge,8,50.0,400.0,0.34461559370529327,0.591,0.004005722460658083
EV00141,Chicago,IL,Airport,DC Fast Charge,6,350.0,2100.0,0.3462211731044349,0.596,0.0038626609442060085
EV00106,Chicago,IL,Suburban,Tesla DC Fast,8,350.0,2800.0,0.3457483547925608,0.595,0.0037195994277539344
EV00024,Chicago,IL,Hotel/Hospitality,Hyper-Fast,2,350.0,700.0,0.34640915593705296,0.596,0.00357653791130186
EV00036,Atlanta,GA,Residential,DC Fast Charge,8,350.0,2800.0,0.22108482334429982,0.517,0.003289944213989415
EV00074,Chicago,IL,Suburban,DC Fast Charge,2,350.0,700.0,0.34573866399656705,0.594,0.003289944213989415
EV00004,Minneapolis,MN,Hotel/Hospitality,DC Fast Charge,6,7.2,43.2,0.34722947067238913,0.594,0.0031473533619456365
EV00124,Minneapolis,MN,Suburban,DC Fast Charge,6,7.2,43.2,0.3458396280400572,0.591,0.0030042918454935624
EV00007,Minneapolis,MN,Airport,Hyper-Fast,10,150.0,1500.0,0.34496967095851216,0.595,0.0030042918454935624
EV00148,Chicago,IL,Suburban,DC Fast Charge,2,100.0,200.0,0.34473533619456365,0.5921000000000003,0.0027181688125894133
EV00104,Miami,FL,Residential,DC Fast Charge,6,150.0,900.0,0.228420886981402,0.535,0.002575107296137339
EV00033,Chicago,IL,Airport,Level 2,6,100.0,600.0,0.3455833214132456,0.595,0.0025747389500786724
EV00029,Atlanta,GA,Residential,DC Fast Charge,6,62.5,375.0,0.22049735374052354,0.519,0.002431697897296524
EV00098,Minneapolis,MN,Suburban,Hyper-Fast,4,350.0,1400.0,0.34712875536480686,0.6,0.0022889842632331904
EV00065,Minneapolis,MN,Hotel/Hospitality,DC Fast Charge,6,50.0,300.0,0.3450391988555079,0.593,0.0022889842632331904
EV00130,Phoenix,AZ,Suburban,Level 2,6,50.0,300.0,0.36008597997138775,0.62,0.002145922746781116
EV00046,Phoenix,AZ,Hotel/Hospitality,DC Fast Charge,6,100.0,600.0,0.35838783977110156,0.6131000000000003,0.0020028612303290413
EV00129,Phoenix,AZ,Hotel/Hospitality,Tesla DC Fast,8,350.0,2800.0,0.358635765379113,0.616,0.0015736766809728183
EV00126,Phoenix,AZ,Suburban,DC Fast Charge,4,62.5,250.0,0.3589856958947218,0.616,0.0015734515806036333
EV00095,Phoenix,AZ,Suburban,Tesla DC Fast,8,150.0,1200.0,0.35904806866952793,0.617,0.001430615164520744
EV00131,Phoenix,AZ,Airport,DC Fast Charge,6,350.0,2100.0,0.35870733800600774,0.618,0.0014304105278214847
EV00150,Atlanta,GA,Hotel/Hospitality,DC Fast Charge,2,50.0,100.0,0.3270666571305965,0.563,0.0012873694750393362
EV00099,Atlanta,GA,Airport,DC Fast Charge,12,350.0,4200.0,0.3271961092833643,0.56,0.0012873694750393362
EV00071,Phoenix,AZ,Hotel/Hospitality,Hyper-Fast,2,350.0,700.0,0.3582215705907596,0.616,0.0011443284222571878
EV00059,Atlanta,GA,Airport,Tesla DC Fast,8,250.0,2000.0,0.32743241310256044,0.563,0.0010012873694750393
EV00012,Atlanta,GA,Airport,Level 2,12,19.2,230.4,0.3271370333285653,0.562,0.0008582463166928909
EV00054,Miami,FL,Airport,Level 2,10,7.2,72.0,0.337791875268202,0.578,0.0
EV00027,Miami,FL,Suburban,Level 2,4,7.2,28.8,0.3375908440629471,0.581,0.0
EV00121,Miami,FL,Airport,Tesla DC Fast,8,350.0,2800.0,0.33681032756401086,0.58,0.0
EV00138,Miami,FL,Airport,Level 2,8,7.2,57.6,0.3367559719639536,0.58,0.0
EV00147,Miami,FL,Hotel/Hospitality,Level 2,8,19.2,153.6,0.3371097124874839,0.58,0.0
