hour,dayofweek,is_weekend,avg_utilization,median_utilization,p25_utilization,p75_utilization,sample_count
11,2,0,0.6622215873015873,0.67,0.541,0.847,6300
11,3,0,0.6603109523809524,0.67,0.539,0.839,6300
11,4,0,0.6613168253968255,0.676,0.538,0.844,6300
11,5,1,0.5769417460317461,0.6014999999999999,0.426,0.79125,6300
11,6,1,0.5786193650793651,0.603,0.424,0.798,6300
12,0,0,0.6875455,0.708,0.571,0.879,6000
12,1,0,0.6869980952380952,0.7064999999999999,0.56975,0.876,6300
12,2,0,0.6829015873015872,0.703,0.564,0.866,6300
12,3,0,0.6851685714285715,0.704,0.569,0.872,6300
12,4,0,0.6862628571428572,0.705,0.566,0.87825,6300
12,5,1,0.6013085714285714,0.63,0.437,0.8422499999999999,6300
12,6,1,0.6011919047619048,0.632,0.439,0.843,6300
13,0,0,0.651694,0.6615,0.53,0.829,6000
13,1,0,0.6534384126984127,0.662,0.531,0.832,6300
13,2,0,0.6503922222222221,0.659,0.527,0.827,6300
13,3,0,0.6498968253968254,0.659,0.529,0.8212499999999999,6300
13,4,0,0.6506769841269842,0.657,0.52875,0.83,6300
13,5,1,0.5703079365079365,0.593,0.413,0.781,6300
13,6,1,0.5705963492063492,0.593,0.414,0.78725,6300
14,0,0,0.6185383333333333,0.622,0.497,0.777,6000
14,1,0,0.6186788888888889,0.62,0.497,0.779,6300
14,2,0,0.6184553968253967,0.62,0.5,0.773,6300
14,3,0,0.616381746031746,0.619,0.498,0.773,6300
14,4,0,0.6178430158730159,0.616,0.49575,0.779,6300
14,5,1,0.5392201587301587,0.555,0.39,0.735,6300
14,6,1,0.540302380952381,0.554,0.391,0.737,6300
15,0,0,0.6073081666666666,0.613,0.493,0.75,6000
15,1,0,0.6091014285714286,0.609,0.49675,0.753,6300
15,2,0,0.6083363492063492,0.608,0.497,0.755,6300
15,3,0,0.607361746031746,0.609,0.49575,0.751,6300
15,4,0,0.6098220634920635,0.614,0.497,0.752,6300
15,5,1,0.5333263492063492,0.547,0.385,0.728,6300
15,6,1,0.5344484126984127,0.55,0.382,0.728,6300
16,0,0,0.6174473333333333,0.6194999999999999,0.51,0.749,6000
16,1,0,0.6158995238095238,0.616,0.503,0.748,6300
16,2,0,0.6170671428571429,0.618,0.50675,0.752,6300
16,3,0,0.6156114285714286,0.617,0.503,0.749,6300
16,4,0,0.6176579365079365,0.62,0.508,0.748,6300
16,5,1,0.5531885714285715,0.571,0.407,0.748,6300
16,6,1,0.5511534920634921,0.573,0.40475000000000005,0.746,6300
17,0,0,0.6497766666666667,0.656,0.506,0.798,6000
17,1,0,0.6490444444444444,0.654,0.504,0.801,6300
17,2,0,0.6496888888888889,0.652,0.51,0.799,6300
17,3,0,0.6492263492063493,0.652,0.508,0.799,6300
17,4,0,0.649761746031746,0.652,0.508,0.80225,6300
17,5,1,0.6072031746031746,0.634,0.451,0.838,6300
17,6,1,0.6074265079365079,0.636,0.45,0.835,6300
18,0,0,0.6406761666666666,0.652,0.514,0.81,6000
18,1,0,0.6413168253968253,0.653,0.515,0.812,6300
18,2,0,0.6417496825396826,0.651,0.514,0.8132499999999999,6300
18,3,0,0.6418350793650794,0.652,0.519,0.811,6300
18,4,0,0.6418630158730159,0.652,0.515,0.812,6300
18,5,1,0.620467619047619,0.632,0.475,0.851,6300
18,6,1,0.6201612698412698,0.635,0.475,0.85225,6300
19,0,0,0.624843,0.638,0.501,0.812,6000
19,1,0,0.6230973015873016,0.633,0.5,0.81,6300
19,2,0,0.6227342857142857,0.633,0.501,0.806,6300
19,3,0,0.6233874603174603,0.631,0.499,0.813,6300
19,4,0,0.6209868253968254,0.636,0.499,0.8,6300
19,5,1,0.6095647619047618,0.621,0.464,0.836,6300
19,6,1,0.6091966666666666,0.62,0.467,0.832,6300
20,0,0,0.5478436666666666,0.549,0.413,0.719,6000
20,1,0,0.5454093650793651,0.545,0.413,0.714,6300
20,2,0,0.5453944444444445,0.542,0.413,0.713,6300
20,3,0,0.5467925396825397,0.543,0.415,0.7142499999999999,6300
20,4,0,0.5449511111111112,0.545,0.412,0.714,6300
20,5,1,0.541498888888889,0.539,0.384,0.73125,6300
20,6,1,0.5420473015873016,0.54,0.388,0.735,6300
21,0,0,0.45693950000000005,0.454,0.343,0.59,6000
21,1,0,0.4591688888888889,0.451,0.348,0.592,6300
21,2,0,0.4568261904761905,0.45,0.34575,0.5912499999999999,6300
21,3,0,0.458691746031746,0.454,0.347,0.589,6300
21,4,0,0.4587747619047619,0.451,0.346,0.593,6300
21,5,1,0.4605338095238095,0.452,0.327,0.614,6300
21,6,1,0.4588446031746032,0.452,0.328,0.61,6300
22,0,0,0.3366383333333333,0.333,0.265,0.422,6000
22,1,0,0.33461682539682536,0.3325,0.266,0.42,6300
22,2,0,0.33462555555555556,0.329,0.264,0.42,6300
22,3,0,0.3351126984126984,0.334,0.264,0.418,6300
22,4,0,0.3353312698412698,0.331,0.264,0.419,6300
22,5,1,0.3352357142857143,0.332,0.254,0.433,6300
22,6,1,0.3350914285714286,0.333,0.251,0.43425,6300
23,0,0,0.23977466666666666,0.236,0.187,0.299,6000
23,1,0,0.24040539682539683,0.235,0.187,0.29725,6300
23,2,0,0.24012031746031748,0.236,0.188,0.298,6300
23,3,0,0.23935777777777778,0.235,0.187,0.298,6300
23,4,0,0.2394842857142857,0.234,0.186,0.297,6300
23,5,1,0.23673111111111111,0.239,0.188,0.298,6300
23,6,1,0.2355984126984127,0.237,0.18775,0.29625,6300
